Module,pre_proc,vt_impl111,vt_impl111,vt_impl111,gox_time,gox_time,post_proc,post_proc1,post_proc1,post_proc1,post_proc1,nmos,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd,IdVg_Vd
Parameter,xc1,pt_dose,Bmax_act,Bsur_act,Time_gox,tox_gn,n_dose,n_energy,xj_nch,Bmax_nch,Bsur_nch,Lg,Vt0,Vts,Ion,Ioffs,St0,Sts,Gms,Gds,Vdibl,Ronoff,Icrit,Av,dSt
Unit,,,cm**-3,cm**-3,,um,,,um,cm**-3,cm**-3,,V,V,A/um,A/um,mV/dec,mV/dec,S/um,S/um,V,A/A,A/um,V/V,%
Parameter Type,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,GlobalParamSplit,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,GlobalParamSplit,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam,ExtractedParam
Wafer 107,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,2,8.25E-01,7.99E-01,2.43E-04,3.00E-14,1.07E+02,1.06E+02,8.34E-05,5.72E-06,2.57E-02,8.09E+09,9.24E-08,1.46E+01,-5.18E-01
Wafer 115,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,2,8.41E-01,8.18E-01,2.58E-04,2.78E-14,1.06E+02,1.06E+02,9.09E-05,5.17E-06,2.32E-02,9.30E+09,1.16E-07,1.76E+01,-5.70E-01
Wafer 123,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,2,8.17E-01,7.96E-01,2.67E-04,3.16E-14,1.08E+02,1.08E+02,8.03E-05,2.55E-05,2.14E-02,8.45E+09,1.15E-07,3.15E+00,-2.98E-01
Wafer 131,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,2,8.19E-01,7.97E-01,2.68E-04,3.58E-14,1.08E+02,1.08E+02,8.04E-05,2.69E-05,2.20E-02,7.50E+09,1.20E-07,2.99E+00,-2.98E-01
Wafer 139,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,2,8.14E-01,7.93E-01,2.59E-04,3.33E-14,1.08E+02,1.08E+02,7.75E-05,2.55E-05,2.05E-02,7.77E+09,1.08E-07,3.05E+00,-3.27E-01
Wafer 147,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,2,8.39E-01,8.15E-01,2.64E-04,3.26E-14,1.07E+02,1.06E+02,9.17E-05,5.63E-06,2.40E-02,8.09E+09,1.19E-07,1.63E+01,-5.41E-01
Wafer 155,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,2,8.41E-01,8.17E-01,2.63E-04,2.85E-14,1.06E+02,1.06E+02,9.17E-05,5.63E-06,2.39E-02,9.21E+09,1.18E-07,1.63E+01,-5.23E-01
Wafer 163,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,2,8.20E-01,7.98E-01,2.77E-04,3.27E-14,1.08E+02,1.08E+02,8.48E-05,2.66E-05,2.24E-02,8.49E+09,1.22E-07,3.19E+00,-2.81E-01
Wafer 171,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,2,8.21E-01,7.98E-01,2.85E-04,3.24E-14,1.08E+02,1.08E+02,8.83E-05,2.67E-05,2.25E-02,8.79E+09,1.25E-07,3.31E+00,-2.83E-01
Wafer 179,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,2,8.18E-01,7.96E-01,2.74E-04,3.28E-14,1.08E+02,1.08E+02,8.33E-05,2.77E-05,2.19E-02,8.35E+09,1.17E-07,3.01E+00,-2.98E-01
Wafer 187,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,2,8.38E-01,8.14E-01,2.68E-04,2.90E-14,1.07E+02,1.06E+02,9.26E-05,5.68E-06,2.44E-02,9.25E+09,1.20E-07,1.63E+01,-5.91E-01
Wafer 195,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,2,8.40E-01,8.16E-01,2.67E-04,3.01E-14,1.07E+02,1.06E+02,9.23E-05,5.67E-06,2.40E-02,8.85E+09,1.19E-07,1.63E+01,-5.49E-01
Wafer 4,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,1.6,7.87E-01,7.76E-01,2.55E-04,3.46E-14,1.09E+02,1.09E+02,8.16E-05,2.63E-06,1.12E-02,7.36E+09,1.09E-07,3.11E+01,2.73E-01
Wafer 12,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,1.6,7.85E-01,7.74E-01,2.55E-04,3.43E-14,1.09E+02,1.09E+02,8.17E-05,2.51E-06,1.10E-02,7.44E+09,1.07E-07,3.25E+01,1.88E-01
Wafer 20,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,1.6,7.85E-01,7.73E-01,2.56E-04,3.14E-14,1.09E+02,1.09E+02,8.18E-05,2.60E-06,1.16E-02,8.14E+09,1.07E-07,3.15E+01,1.41E-01
Wafer 28,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,1.6,7.85E-01,7.73E-01,2.56E-04,3.42E-14,1.09E+02,1.09E+02,8.16E-05,2.62E-06,1.15E-02,7.48E+09,1.06E-07,3.11E+01,4.91E-02
Wafer 36,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,1.6,8.27E-01,7.99E-01,2.20E-04,3.32E-14,1.08E+02,1.07E+02,6.44E-05,1.80E-05,2.74E-02,6.61E+09,1.07E-07,3.59E+00,-9.65E-01
Wafer 44,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,1.6,7.88E-01,7.71E-01,2.76E-04,3.68E-14,1.10E+02,1.09E+02,8.58E-05,3.11E-06,1.74E-02,7.51E+09,1.22E-07,2.76E+01,-2.13E-01
Wafer 52,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,1.6,7.88E-01,7.71E-01,2.75E-04,3.78E-14,1.10E+02,1.09E+02,8.58E-05,3.34E-06,1.76E-02,7.29E+09,1.21E-07,2.57E+01,-2.19E-01
Wafer 60,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,1.6,7.88E-01,7.70E-01,2.74E-04,3.94E-14,1.10E+02,1.09E+02,8.52E-05,3.69E-06,1.76E-02,6.95E+09,1.18E-07,2.31E+01,-2.10E-01
Wafer 68,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,1.6,7.88E-01,7.71E-01,2.72E-04,4.40E-14,1.10E+02,1.09E+02,8.49E-05,3.88E-06,1.76E-02,6.19E+09,1.17E-07,2.19E+01,-2.25E-01
Wafer 76,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,1.6,8.32E-01,8.02E-01,3.02E-04,3.30E-14,1.07E+02,1.06E+02,1.01E-04,3.84E-06,3.05E-02,9.14E+09,1.38E-07,2.63E+01,-7.84E-01
Wafer 84,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,1.6,7.95E-01,7.72E-01,3.08E-04,3.96E-14,1.10E+02,1.09E+02,8.70E-05,3.20E-05,2.31E-02,7.79E+09,1.41E-07,2.72E+00,-1.81E-01
Wafer 92,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,1.6,7.98E-01,7.74E-01,3.14E-04,4.23E-14,1.10E+02,1.09E+02,8.88E-05,3.34E-05,2.45E-02,7.43E+09,1.48E-07,2.66E+00,-1.38E-01
Wafer 100,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,1.6,7.92E-01,7.70E-01,3.04E-04,4.10E-14,1.10E+02,1.09E+02,8.66E-05,3.08E-05,2.20E-02,7.43E+09,1.31E-07,2.81E+00,-1.76E-01
Wafer 108,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,1.6,8.15E-01,7.86E-01,2.89E-04,3.43E-14,1.07E+02,1.07E+02,9.16E-05,6.02E-06,2.89E-02,8.41E+09,1.13E-07,1.52E+01,-4.70E-01
Wafer 116,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,1.6,8.33E-01,7.99E-01,3.15E-04,3.18E-14,1.07E+02,1.06E+02,1.05E-04,6.96E-06,3.40E-02,9.90E+09,1.46E-07,1.51E+01,-6.20E-01
Wafer 124,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,1.6,7.99E-01,7.74E-01,3.40E-04,4.21E-14,1.09E+02,1.09E+02,9.97E-05,3.55E-05,2.50E-02,8.08E+09,1.53E-07,2.81E+00,-1.15E-01
Wafer 132,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,1.6,8.01E-01,7.75E-01,3.42E-04,4.63E-14,1.09E+02,1.09E+02,9.99E-05,3.75E-05,2.52E-02,7.39E+09,1.58E-07,2.66E+00,-9.91E-02
Wafer 140,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,1.6,7.97E-01,7.73E-01,3.26E-04,4.35E-14,1.10E+02,1.09E+02,9.43E-05,3.61E-05,2.45E-02,7.49E+09,1.44E-07,2.61E+00,-1.44E-01
Wafer 148,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,1.6,8.30E-01,7.96E-01,3.23E-04,3.72E-14,1.07E+02,1.06E+02,1.06E-04,7.82E-06,3.42E-02,8.69E+09,1.51E-07,1.36E+01,-5.66E-01
Wafer 156,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,1.6,8.32E-01,7.98E-01,3.22E-04,3.29E-14,1.07E+02,1.06E+02,1.06E-04,7.81E-06,3.47E-02,9.78E+09,1.50E-07,1.36E+01,-5.38E-01
Wafer 164,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,1.6,8.01E-01,7.75E-01,3.54E-04,4.33E-14,1.09E+02,1.09E+02,1.05E-04,3.42E-05,2.56E-02,8.19E+09,1.59E-07,3.07E+00,-9.46E-02
Wafer 172,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,1.6,8.01E-01,7.75E-01,3.64E-04,4.32E-14,1.09E+02,1.09E+02,1.09E-04,3.56E-05,2.54E-02,8.44E+09,1.63E-07,3.05E+00,-5.39E-02
Wafer 180,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,1.6,8.00E-01,7.74E-01,3.48E-04,4.34E-14,1.09E+02,1.09E+02,1.03E-04,3.80E-05,2.55E-02,8.00E+09,1.54E-07,2.70E+00,-1.09E-01
Wafer 188,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,1.6,8.29E-01,7.95E-01,3.29E-04,3.40E-14,1.07E+02,1.07E+02,1.07E-04,7.93E-06,3.41E-02,9.67E+09,1.53E-07,1.35E+01,-6.27E-01
Wafer 196,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,1.6,8.31E-01,7.96E-01,3.27E-04,3.48E-14,1.07E+02,1.07E+02,1.07E-04,7.91E-06,3.44E-02,9.39E+09,1.52E-07,1.35E+01,-5.69E-01
Wafer 5,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,1.2,7.51E-01,7.43E-01,3.09E-04,5.31E-14,1.07E+02,1.07E+02,9.17E-05,3.86E-06,7.84E-03,5.82E+09,1.41E-07,2.38E+01,2.86E-01
Wafer 13,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,1.2,7.47E-01,7.40E-01,3.10E-04,5.35E-14,1.06E+02,1.07E+02,9.20E-05,3.73E-06,7.86E-03,5.79E+09,1.36E-07,2.47E+01,1.25E-01
Wafer 21,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,1.2,7.47E-01,7.38E-01,3.10E-04,5.11E-14,1.07E+02,1.07E+02,9.20E-05,3.87E-06,8.86E-03,6.07E+09,1.35E-07,2.38E+01,1.23E-02
Wafer 29,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,1.2,7.46E-01,7.38E-01,3.11E-04,5.35E-14,1.07E+02,1.07E+02,9.18E-05,3.92E-06,8.53E-03,5.80E+09,1.33E-07,2.34E+01,-1.31E-01
Wafer 37,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,1.2,8.13E-01,7.84E-01,2.54E-04,3.98E-14,1.09E+02,1.08E+02,7.09E-05,1.82E-05,2.97E-02,6.39E+09,1.33E-07,3.90E+00,-9.52E-01
Wafer 45,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,1.2,7.49E-01,7.30E-01,3.42E-04,6.90E-14,1.07E+02,1.06E+02,9.65E-05,5.01E-06,1.92E-02,4.95E+09,1.57E-07,1.93E+01,-9.69E-01
Wafer 53,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,1.2,7.50E-01,7.31E-01,3.41E-04,6.90E-14,1.07E+02,1.06E+02,9.66E-05,5.55E-06,1.93E-02,4.94E+09,1.56E-07,1.74E+01,-9.58E-01
Wafer 61,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,1.2,7.50E-01,7.30E-01,3.39E-04,6.92E-14,1.08E+02,1.06E+02,9.60E-05,6.22E-06,1.96E-02,4.89E+09,1.52E-07,1.54E+01,-9.47E-01
Wafer 69,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,1.2,7.51E-01,7.32E-01,3.36E-04,7.17E-14,1.08E+02,1.07E+02,9.56E-05,6.36E-06,1.92E-02,4.69E+09,1.50E-07,1.50E+01,-9.37E-01
Wafer 77,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,1.2,8.18E-01,7.84E-01,3.80E-04,4.24E-14,1.08E+02,1.07E+02,1.17E-04,7.20E-06,3.45E-02,8.96E+09,1.86E-07,1.63E+01,-6.72E-01
Wafer 85,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,1.2,7.60E-01,7.30E-01,4.16E-04,8.22E-14,1.07E+02,1.06E+02,1.14E-04,4.86E-05,3.07E-02,5.05E+09,2.00E-07,2.34E+00,-1.46E+00
Wafer 93,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,1.2,7.66E-01,7.32E-01,4.27E-04,8.76E-14,1.07E+02,1.06E+02,1.17E-04,4.92E-05,3.35E-02,4.88E+09,2.20E-07,2.38E+00,-1.49E+00
Wafer 101,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,1.2,7.56E-01,7.27E-01,4.04E-04,8.11E-14,1.07E+02,1.06E+02,1.09E-04,4.33E-05,2.86E-02,4.98E+09,1.78E-07,2.52E+00,-1.35E+00
Wafer 109,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,1.2,7.98E-01,7.64E-01,3.41E-04,4.74E-14,1.09E+02,1.09E+02,9.74E-05,4.57E-06,3.35E-02,7.19E+09,1.49E-07,2.13E+01,-9.57E-02
Wafer 117,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,1.2,8.17E-01,7.79E-01,4.02E-04,4.42E-14,1.08E+02,1.08E+02,1.21E-04,8.99E-06,3.81E-02,9.09E+09,1.99E-07,1.35E+01,-4.75E-01
Wafer 125,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,1.2,7.67E-01,7.32E-01,4.62E-04,8.92E-14,1.07E+02,1.05E+02,1.28E-04,4.36E-05,3.54E-02,5.18E+09,2.32E-07,2.93E+00,-1.62E+00
Wafer 133,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,1.2,7.70E-01,7.34E-01,4.69E-04,9.41E-14,1.07E+02,1.05E+02,1.29E-04,4.62E-05,3.59E-02,4.98E+09,2.46E-07,2.80E+00,-1.63E+00
Wafer 141,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,1.2,7.64E-01,7.30E-01,4.41E-04,8.87E-14,1.07E+02,1.05E+02,1.21E-04,4.59E-05,3.42E-02,4.97E+09,2.11E-07,2.65E+00,-1.62E+00
Wafer 149,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,190,0.400186,1.37E+17,2.58E+16,1.2,8.13E-01,7.74E-01,4.14E-04,5.20E-14,1.09E+02,1.08E+02,1.23E-04,9.92E-06,3.92E-02,7.96E+09,2.09E-07,1.24E+01,-4.95E-01
Wafer 157,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,220,0.412778,1.35E+17,2.62E+16,1.2,8.16E-01,7.76E-01,4.12E-04,4.67E-14,1.08E+02,1.08E+02,1.23E-04,9.86E-06,3.95E-02,8.81E+09,2.05E-07,1.25E+01,-4.75E-01
Wafer 165,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,90,0.339656,1.59E+17,2.54E+16,1.2,7.71E-01,7.34E-01,4.83E-04,9.17E-14,1.07E+02,1.05E+02,1.33E-04,3.83E-05,3.69E-02,5.26E+09,2.51E-07,3.48E+00,-1.68E+00
Wafer 173,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,130,0.362478,1.47E+17,2.58E+16,1.2,7.71E-01,7.32E-01,4.95E-04,9.37E-14,1.06E+02,1.04E+02,1.36E-04,3.32E-05,3.82E-02,5.28E+09,2.61E-07,4.11E+00,-1.82E+00
Wafer 181,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,160,0.388026,1.54E+17,2.48E+16,1.2,7.69E-01,7.31E-01,4.71E-04,9.22E-14,1.07E+02,1.05E+02,1.30E-04,3.94E-05,3.77E-02,5.11E+09,2.36E-07,3.29E+00,-1.83E+00
Wafer 189,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,190,0.404975,1.42E+17,2.51E+16,1.2,8.11E-01,7.71E-01,4.23E-04,5.12E-14,1.09E+02,1.08E+02,1.24E-04,1.00E-05,4.03E-02,8.25E+09,2.15E-07,1.24E+01,-7.38E-01
Wafer 197,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,9.00E+15,220,0.434003,1.40E+17,2.53E+16,1.2,8.13E-01,7.73E-01,4.19E-04,5.03E-14,1.09E+02,1.08E+02,1.24E-04,9.97E-06,4.02E-02,8.34E+09,2.12E-07,1.24E+01,-6.77E-01
Wafer 6,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,90,0.239194,1.68E+17,3.03E+16,1,7.14E-01,7.07E-01,3.46E-04,9.12E-14,1.04E+02,1.05E+02,9.79E-05,4.94E-06,7.07E-03,3.79E+09,1.56E-07,1.98E+01,4.38E-01
Wafer 14,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,130,0.260221,1.67E+17,2.90E+16,1,7.09E-01,7.01E-01,3.48E-04,9.32E-14,1.04E+02,1.05E+02,9.83E-05,4.81E-06,7.76E-03,3.73E+09,1.49E-07,2.04E+01,2.00E-01
Wafer 22,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,160,0.282804,1.67E+17,2.88E+16,1,7.09E-01,6.99E-01,3.48E-04,9.22E-14,1.05E+02,1.05E+02,9.83E-05,5.01E-06,9.47E-03,3.78E+09,1.49E-07,1.96E+01,2.37E-02
Wafer 30,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,190,0.322236,1.72E+17,2.94E+16,1,7.10E-01,7.01E-01,3.49E-04,9.44E-14,1.05E+02,1.05E+02,9.80E-05,5.11E-06,9.15E-03,3.69E+09,1.51E-07,1.92E+01,-1.82E-01
Wafer 38,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,1.00E+15,220,0.360656,1.64E+17,3.16E+16,1,8.05E-01,7.72E-01,2.71E-04,4.87E-14,1.11E+02,1.10E+02,7.39E-05,1.51E-05,3.33E-02,5.55E+09,1.58E-07,4.91E+00,-6.68E-01
Wafer 46,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,90,0.31078,1.56E+17,2.77E+16,1,7.14E-01,6.87E-01,3.89E-04,1.51E-13,1.06E+02,1.04E+02,1.03E-04,7.19E-06,2.72E-02,2.59E+09,1.91E-07,1.44E+01,-1.54E+00
Wafer 54,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,130,0.319409,1.56E+17,2.68E+16,1,7.14E-01,6.87E-01,3.89E-04,1.47E-13,1.06E+02,1.04E+02,1.03E-04,8.03E-06,2.71E-02,2.64E+09,1.85E-07,1.29E+01,-1.52E+00
Wafer 62,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,160,0.337279,1.55E+17,2.70E+16,1,7.13E-01,6.85E-01,3.86E-04,1.42E-13,1.06E+02,1.04E+02,1.03E-04,9.21E-06,2.80E-02,2.72E+09,1.77E-07,1.12E+01,-1.50E+00
Wafer 70,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,190,0.363509,1.57E+17,2.83E+16,1,7.14E-01,6.87E-01,3.83E-04,1.38E-13,1.06E+02,1.04E+02,1.03E-04,9.50E-06,2.66E-02,2.77E+09,1.73E-07,1.08E+01,-1.49E+00
Wafer 78,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,3.00E+15,220,0.392961,1.49E+17,2.88E+16,1,8.08E-01,7.69E-01,4.33E-04,5.71E-14,1.09E+02,1.09E+02,1.27E-04,8.85E-06,3.92E-02,7.58E+09,2.37E-07,1.43E+01,-3.75E-01
Wafer 86,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,90,0.321186,1.48E+17,2.58E+16,1,7.20E-01,6.70E-01,4.97E-04,2.16E-13,1.05E+02,1.02E+02,1.30E-04,4.42E-05,5.09E-02,2.30E+09,2.31E-07,2.94E+00,-2.99E+00
Wafer 94,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,130,0.336026,1.44E+17,2.65E+16,1,7.28E-01,6.72E-01,5.15E-04,2.39E-13,1.05E+02,1.02E+02,1.35E-04,4.56E-05,5.62E-02,2.15E+09,2.65E-07,2.95E+00,-3.12E+00
Wafer 102,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,160,0.363222,1.46E+17,2.58E+16,1,7.18E-01,6.68E-01,4.75E-04,2.04E-13,1.06E+02,1.02E+02,1.24E-04,3.52E-05,4.96E-02,2.33E+09,2.10E-07,3.51E+00,-3.09E+00
Wafer 110,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,190,0.38556,1.39E+17,2.90E+16,1,7.78E-01,7.37E-01,3.59E-04,7.19E-14,1.11E+02,1.08E+02,1.01E-04,2.40E-06,4.15E-02,4.99E+09,1.72E-07,4.19E+01,-2.00E+00
Wafer 118,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,5.00E+15,220,0.406576,1.38E+17,2.75E+16,1,8.05E-01,7.58E-01,4.58E-04,6.57E-14,1.10E+02,1.09E+02,1.31E-04,8.59E-06,4.69E-02,6.97E+09,2.58E-07,1.52E+01,-4.34E-01
Wafer 126,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,90,0.32222,1.53E+17,2.55E+16,1,7.31E-01,6.67E-01,5.45E-04,2.61E-13,1.05E+02,1.01E+02,1.43E-04,3.04E-05,6.43E-02,2.09E+09,2.89E-07,4.69E+00,-3.69E+00
Wafer 134,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,130,0.357862,1.43E+17,2.58E+16,1,7.35E-01,6.69E-01,5.56E-04,2.72E-13,1.05E+02,1.01E+02,1.45E-04,3.23E-05,6.60E-02,2.05E+09,3.19E-07,4.49E+00,-3.78E+00
Wafer 142,3.2,3.00E+12,3.76E+17,3.90E+16,3.00E+01,0.019968,7.00E+15,160,0.36606,1.48E+17,2.51E+16,1,7.25E-01,6.62E-01,5.20E-04,2.49E-13,1.05E+02,1.01E+02,1.36E-04,3.52E-05,6.34E-02,2.08E+09,2.48E-07,3.87E+00,-3.76E+00
